Arquivo,Tipo MIME
VirusShare_633589cb4ee3a517d9bb6492f4c9e1e5,text/x-msdos-batch
VirusShare_10d06912f50dd61478aa940bfd184830,text/x-msdos-batch
VirusShare_bc3cc4054cf1984f4872bd900dc7f8a4,text/x-msdos-batch
VirusShare_e4534740381612d1d5c4974baedf132c,text/x-msdos-batch
VirusShare_9dc451c7ddd841cdbed35018000bfd34,text/x-msdos-batch
VirusShare_54cc9dc1772092d419cfb8f0c5fdea5f,text/x-msdos-batch
VirusShare_344f3d075677d2cdebbc6ed64edbdcc1,text/x-msdos-batch
VirusShare_4e1804de3ca8440a9498caf50f188b3d,text/x-msdos-batch
