MIME_type,Count,Virus_Share_Package
application/pdf,30578,Untreated_logs/registro_destino_00480.csv
application/x-dosexec,18115,Untreated_logs/registro_destino_00480.csv
text/html,12595,Untreated_logs/registro_destino_00480.csv
text/plain,1874,Untreated_logs/registro_destino_00480.csv
application/octet-stream,1021,Untreated_logs/registro_destino_00480.csv
application/zip,468,Untreated_logs/registro_destino_00480.csv
application/vnd.microsoft.portable-executable,213,Untreated_logs/registro_destino_00480.csv
application/x-executable,202,Untreated_logs/registro_destino_00480.csv
application/java-archive,144,Untreated_logs/registro_destino_00480.csv
text/xml,95,Untreated_logs/registro_destino_00480.csv
application/x-rar,43,Untreated_logs/registro_destino_00480.csv
application/vnd.ms-excel,21,Untreated_logs/registro_destino_00480.csv
message/rfc822,20,Untreated_logs/registro_destino_00480.csv
application/encrypted,19,Untreated_logs/registro_destino_00480.csv
text/x-php,14,Untreated_logs/registro_destino_00480.csv
text/x-script.python,12,Untreated_logs/registro_destino_00480.csv
text/rtf,11,Untreated_logs/registro_destino_00480.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,10,Untreated_logs/registro_destino_00480.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,8,Untreated_logs/registro_destino_00480.csv
text/x-ruby,8,Untreated_logs/registro_destino_00480.csv
text/x-shellscript,7,Untreated_logs/registro_destino_00480.csv
application/x-iso9660-image,6,Untreated_logs/registro_destino_00480.csv
application/x-sharedlib,5,Untreated_logs/registro_destino_00480.csv
application/json,4,Untreated_logs/registro_destino_00480.csv
text/x-msdos-batch,4,Untreated_logs/registro_destino_00480.csv
application/x-java-applet,4,Untreated_logs/registro_destino_00480.csv
application/gzip,4,Untreated_logs/registro_destino_00480.csv
application/x-msi,3,Untreated_logs/registro_destino_00480.csv
text/x-Algol68,3,Untreated_logs/registro_destino_00480.csv
text/x-c,3,Untreated_logs/registro_destino_00480.csv
application/x-7z-compressed,3,Untreated_logs/registro_destino_00480.csv
application/msword,3,Untreated_logs/registro_destino_00480.csv
text/x-perl,2,Untreated_logs/registro_destino_00480.csv
application/vnd.ms-powerpoint,2,Untreated_logs/registro_destino_00480.csv
text/x-c++,2,Untreated_logs/registro_destino_00480.csv
application/x-xz,1,Untreated_logs/registro_destino_00480.csv
application/vnd.debian.binary-package,1,Untreated_logs/registro_destino_00480.csv
application/x-shockwave-flash,1,Untreated_logs/registro_destino_00480.csv
audio/x-wav,1,Untreated_logs/registro_destino_00480.csv
application/x-mach-binary,1,Untreated_logs/registro_destino_00480.csv
audio/mpeg,1,Untreated_logs/registro_destino_00480.csv
application/vnd.tcpdump.pcap,1,Untreated_logs/registro_destino_00480.csv
application/vnd.ms-cab-compressed,1,Untreated_logs/registro_destino_00480.csv
application/x-wine-extension-ini,1,Untreated_logs/registro_destino_00480.csv
