MIME_type,Count,Virus_Share_Package
application/pdf,32843,Untreated_logs/registro_destino_00479.csv
application/x-dosexec,15345,Untreated_logs/registro_destino_00479.csv
text/html,13447,Untreated_logs/registro_destino_00479.csv
text/plain,1709,Untreated_logs/registro_destino_00479.csv
application/octet-stream,922,Untreated_logs/registro_destino_00479.csv
application/x-executable,385,Untreated_logs/registro_destino_00479.csv
application/zip,351,Untreated_logs/registro_destino_00479.csv
application/java-archive,125,Untreated_logs/registro_destino_00479.csv
application/x-java-applet,66,Untreated_logs/registro_destino_00479.csv
text/xml,65,Untreated_logs/registro_destino_00479.csv
application/vnd.microsoft.portable-executable,63,Untreated_logs/registro_destino_00479.csv
application/gzip,38,Untreated_logs/registro_destino_00479.csv
text/x-php,28,Untreated_logs/registro_destino_00479.csv
application/vnd.ms-excel,24,Untreated_logs/registro_destino_00479.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,15,Untreated_logs/registro_destino_00479.csv
application/x-rar,15,Untreated_logs/registro_destino_00479.csv
text/x-msdos-batch,12,Untreated_logs/registro_destino_00479.csv
application/CDFV2,9,Untreated_logs/registro_destino_00479.csv
application/x-mach-binary,7,Untreated_logs/registro_destino_00479.csv
text/x-script.python,7,Untreated_logs/registro_destino_00479.csv
text/x-c++,6,Untreated_logs/registro_destino_00479.csv
application/javascript,6,Untreated_logs/registro_destino_00479.csv
text/x-Algol68,5,Untreated_logs/registro_destino_00479.csv
application/msword,5,Untreated_logs/registro_destino_00479.csv
message/rfc822,4,Untreated_logs/registro_destino_00479.csv
application/vnd.android.package-archive,4,Untreated_logs/registro_destino_00479.csv
text/x-ruby,4,Untreated_logs/registro_destino_00479.csv
text/x-shellscript,4,Untreated_logs/registro_destino_00479.csv
application/x-ms-shortcut,3,Untreated_logs/registro_destino_00479.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3,Untreated_logs/registro_destino_00479.csv
text/x-c,2,Untreated_logs/registro_destino_00479.csv
application/x-sharedlib,2,Untreated_logs/registro_destino_00479.csv
application/encrypted,2,Untreated_logs/registro_destino_00479.csv
application/x-pie-executable,1,Untreated_logs/registro_destino_00479.csv
application/x-bytecode.python,1,Untreated_logs/registro_destino_00479.csv
application/x-chrome-extension,1,Untreated_logs/registro_destino_00479.csv
application/x-shockwave-flash,1,Untreated_logs/registro_destino_00479.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,1,Untreated_logs/registro_destino_00479.csv
text/csv,1,Untreated_logs/registro_destino_00479.csv
application/vnd.ms-powerpoint,1,Untreated_logs/registro_destino_00479.csv
application/x-wine-extension-ini,1,Untreated_logs/registro_destino_00479.csv
text/x-perl,1,Untreated_logs/registro_destino_00479.csv
application/x-msi,1,Untreated_logs/registro_destino_00479.csv
