Tipo MIME,Count,Virus_Share_Package
application/x-dosexec,30765,registro_destino_00474.csv
application/pdf,17086,registro_destino_00474.csv
text/plain,7425,registro_destino_00474.csv
text/html,5561,registro_destino_00474.csv
application/octet-stream,2047,registro_destino_00474.csv
application/zip,809,registro_destino_00474.csv
application/x-executable,576,registro_destino_00474.csv
text/x-php,478,registro_destino_00474.csv
application/java-archive,312,registro_destino_00474.csv
application/x-rar,85,registro_destino_00474.csv
application/encrypted,47,registro_destino_00474.csv
application/vnd.ms-excel,41,registro_destino_00474.csv
text/xml,37,registro_destino_00474.csv
message/rfc822,28,registro_destino_00474.csv
text/rtf,27,registro_destino_00474.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,26,registro_destino_00474.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,23,registro_destino_00474.csv
application/x-wine-extension-ini,14,registro_destino_00474.csv
text/x-Algol68,14,registro_destino_00474.csv
application/msword,13,registro_destino_00474.csv
text/x-script.python,13,registro_destino_00474.csv
application/x-mach-binary,13,registro_destino_00474.csv
application/x-iso9660-image,11,registro_destino_00474.csv
text/x-shellscript,10,registro_destino_00474.csv
text/x-ruby,8,registro_destino_00474.csv
application/x-sharedlib,8,registro_destino_00474.csv
text/x-msdos-batch,8,registro_destino_00474.csv
application/x-7z-compressed,6,registro_destino_00474.csv
application/x-pie-executable,5,registro_destino_00474.csv
application/json,5,registro_destino_00474.csv
application/x-setupscript,4,registro_destino_00474.csv
application/x-shockwave-flash,4,registro_destino_00474.csv
text/x-c++,4,registro_destino_00474.csv
application/x-bytecode.python,2,registro_destino_00474.csv
application/vnd.debian.binary-package,2,registro_destino_00474.csv
text/x-perl,2,registro_destino_00474.csv
application/x-msi,2,registro_destino_00474.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,2,registro_destino_00474.csv
text/troff,1,registro_destino_00474.csv
text/x-c,1,registro_destino_00474.csv
application/zlib,1,registro_destino_00474.csv
image/bmp,1,registro_destino_00474.csv
application/CDFV2,1,registro_destino_00474.csv
audio/mpeg,1,registro_destino_00474.csv
application/x-java-applet,1,registro_destino_00474.csv
text/x-asm,1,registro_destino_00474.csv
application/x-xz,1,registro_destino_00474.csv
application/gzip,1,registro_destino_00474.csv
audio/x-wav,1,registro_destino_00474.csv
application/vnd.ms-cab-compressed,1,registro_destino_00474.csv
image/gif,1,registro_destino_00474.csv
