Tipo MIME,Count,Virus_Share_Package
application/x-dosexec,28723,registro_destino_00472.csv
text/html,17904,registro_destino_00472.csv
application/pdf,9584,registro_destino_00472.csv
text/plain,6998,registro_destino_00472.csv
application/octet-stream,989,registro_destino_00472.csv
application/zip,424,registro_destino_00472.csv
application/x-executable,341,registro_destino_00472.csv
text/xml,172,registro_destino_00472.csv
application/java-archive,153,registro_destino_00472.csv
text/x-php,61,registro_destino_00472.csv
application/x-java-applet,28,registro_destino_00472.csv
application/x-rar,20,registro_destino_00472.csv
text/x-script.python,18,registro_destino_00472.csv
message/rfc822,15,registro_destino_00472.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,14,registro_destino_00472.csv
application/x-sharedlib,14,registro_destino_00472.csv
application/json,12,registro_destino_00472.csv
application/vnd.ms-excel,8,registro_destino_00472.csv
text/x-shellscript,7,registro_destino_00472.csv
text/x-ruby,7,registro_destino_00472.csv
text/x-msdos-batch,7,registro_destino_00472.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,6,registro_destino_00472.csv
application/msword,4,registro_destino_00472.csv
application/x-setupscript,4,registro_destino_00472.csv
application/x-pie-executable,3,registro_destino_00472.csv
text/rtf,3,registro_destino_00472.csv
text/x-perl,3,registro_destino_00472.csv
text/x-c,2,registro_destino_00472.csv
application/x-msi,2,registro_destino_00472.csv
text/x-c++,2,registro_destino_00472.csv
application/gzip,1,registro_destino_00472.csv
application/vnd.debian.binary-package,1,registro_destino_00472.csv
application/x-shockwave-flash,1,registro_destino_00472.csv
audio/ogg,1,registro_destino_00472.csv
text/x-asm,1,registro_destino_00472.csv
text/x-Algol68,1,registro_destino_00472.csv
application/x-bytecode.python,1,registro_destino_00472.csv
application/x-7z-compressed,1,registro_destino_00472.csv
