MIME_type,Count,Virus_Share_Package
application/x-dosexec,28310,registro_destino_00475.csv
application/pdf,21387,registro_destino_00475.csv
text/html,8327,registro_destino_00475.csv
text/plain,3831,registro_destino_00475.csv
application/octet-stream,1891,registro_destino_00475.csv
application/zip,544,registro_destino_00475.csv
application/x-executable,389,registro_destino_00475.csv
text/xml,236,registro_destino_00475.csv
application/java-archive,178,registro_destino_00475.csv
text/x-php,149,registro_destino_00475.csv
application/x-rar,56,registro_destino_00475.csv
application/vnd.ms-excel,30,registro_destino_00475.csv
text/rtf,20,registro_destino_00475.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,17,registro_destino_00475.csv
application/encrypted,17,registro_destino_00475.csv
text/x-script.python,16,registro_destino_00475.csv
text/x-shellscript,14,registro_destino_00475.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,12,registro_destino_00475.csv
text/x-ruby,11,registro_destino_00475.csv
message/rfc822,11,registro_destino_00475.csv
application/x-sharedlib,10,registro_destino_00475.csv
application/x-iso9660-image,9,registro_destino_00475.csv
application/x-7z-compressed,8,registro_destino_00475.csv
application/x-wine-extension-ini,8,registro_destino_00475.csv
text/x-msdos-batch,7,registro_destino_00475.csv
application/x-mach-binary,7,registro_destino_00475.csv
application/json,6,registro_destino_00475.csv
application/x-setupscript,4,registro_destino_00475.csv
text/x-c,4,registro_destino_00475.csv
application/gzip,3,registro_destino_00475.csv
text/x-Algol68,2,registro_destino_00475.csv
application/x-java-applet,2,registro_destino_00475.csv
application/x-msi,2,registro_destino_00475.csv
application/x-pie-executable,2,registro_destino_00475.csv
application/zlib,2,registro_destino_00475.csv
application/x-xz,1,registro_destino_00475.csv
application/x-ms-wim,1,registro_destino_00475.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,1,registro_destino_00475.csv
application/msword,1,registro_destino_00475.csv
text/x-c++,1,registro_destino_00475.csv
text/x-asm,1,registro_destino_00475.csv
text/x-ms-regedit,1,registro_destino_00475.csv
application/x-coff,1,registro_destino_00475.csv
application/vnd.tcpdump.pcap,1,registro_destino_00475.csv
text/x-java,1,registro_destino_00475.csv
application/x-shockwave-flash,1,registro_destino_00475.csv
application/vnd.ms-cab-compressed,1,registro_destino_00475.csv
image/gif,1,registro_destino_00475.csv
application/x-lzh-compressed,1,registro_destino_00475.csv
