MIME_type,Count,Virus_Share_Package
application/pdf,31401,Untreated_logs/registro_destino_00478.csv
application/x-dosexec,11301,Untreated_logs/registro_destino_00478.csv
text/html,10441,Untreated_logs/registro_destino_00478.csv
application/vnd.microsoft.portable-executable,8476,Untreated_logs/registro_destino_00478.csv
text/plain,1006,Untreated_logs/registro_destino_00478.csv
application/javascript,869,Untreated_logs/registro_destino_00478.csv
application/octet-stream,785,Untreated_logs/registro_destino_00478.csv
application/zip,286,Untreated_logs/registro_destino_00478.csv
application/x-ms-shortcut,221,Untreated_logs/registro_destino_00478.csv
application/x-executable,196,Untreated_logs/registro_destino_00478.csv
application/vnd.android.package-archive,183,Untreated_logs/registro_destino_00478.csv
application/java-archive,113,Untreated_logs/registro_destino_00478.csv
text/xml,85,Untreated_logs/registro_destino_00478.csv
text/x-php,41,Untreated_logs/registro_destino_00478.csv
application/x-rar,28,Untreated_logs/registro_destino_00478.csv
message/rfc822,13,Untreated_logs/registro_destino_00478.csv
application/vnd.ms-excel,11,Untreated_logs/registro_destino_00478.csv
text/x-c,9,Untreated_logs/registro_destino_00478.csv
text/x-ruby,8,Untreated_logs/registro_destino_00478.csv
text/x-shellscript,8,Untreated_logs/registro_destino_00478.csv
application/x-mach-binary,7,Untreated_logs/registro_destino_00478.csv
text/x-script.python,7,Untreated_logs/registro_destino_00478.csv
text/x-msdos-batch,4,Untreated_logs/registro_destino_00478.csv
application/gzip,4,Untreated_logs/registro_destino_00478.csv
text/x-c++,4,Untreated_logs/registro_destino_00478.csv
application/x-sharedlib,4,Untreated_logs/registro_destino_00478.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,2,Untreated_logs/registro_destino_00478.csv
application/msword,2,Untreated_logs/registro_destino_00478.csv
application/x-java-applet,2,Untreated_logs/registro_destino_00478.csv
application/x-msi,2,Untreated_logs/registro_destino_00478.csv
text/x-perl,2,Untreated_logs/registro_destino_00478.csv
text/rtf,2,Untreated_logs/registro_destino_00478.csv
application/x-wine-extension-ini,2,Untreated_logs/registro_destino_00478.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2,Untreated_logs/registro_destino_00478.csv
application/x-bittorrent,1,Untreated_logs/registro_destino_00478.csv
application/encrypted,1,Untreated_logs/registro_destino_00478.csv
application/json,1,Untreated_logs/registro_destino_00478.csv
application/x-xar,1,Untreated_logs/registro_destino_00478.csv
text/x-Algol68,1,Untreated_logs/registro_destino_00478.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,1,Untreated_logs/registro_destino_00478.csv
audio/x-wav,1,Untreated_logs/registro_destino_00478.csv
