MIME_type,Count,Virus_Share_Package
application/pdf,30342,registro_destino_00486.csv
application/x-dosexec,26559,registro_destino_00486.csv
text/html,4128,registro_destino_00486.csv
text/plain,1864,registro_destino_00486.csv
text/x-msdos-batch,1317,registro_destino_00486.csv
application/octet-stream,719,registro_destino_00486.csv
application/x-executable,223,registro_destino_00486.csv
text/x-php,92,registro_destino_00486.csv
application/zip,69,registro_destino_00486.csv
message/rfc822,58,registro_destino_00486.csv
text/x-script.python,30,registro_destino_00486.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,22,registro_destino_00486.csv
application/java-archive,19,registro_destino_00486.csv
application/x-rar,18,registro_destino_00486.csv
text/xml,14,registro_destino_00486.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,13,registro_destino_00486.csv
text/x-shellscript,11,registro_destino_00486.csv
application/x-mach-binary,8,registro_destino_00486.csv
text/x-c,6,registro_destino_00486.csv
application/x-sharedlib,5,registro_destino_00486.csv
application/x-setupscript,3,registro_destino_00486.csv
application/x-pie-executable,3,registro_destino_00486.csv
text/x-perl,2,registro_destino_00486.csv
application/x-java-applet,2,registro_destino_00486.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,2,registro_destino_00486.csv
application/json,2,registro_destino_00486.csv
application/encrypted,1,registro_destino_00486.csv
application/CDFV2,1,registro_destino_00486.csv
text/x-c++,1,registro_destino_00486.csv
text/x-asm,1,registro_destino_00486.csv
application/gzip,1,registro_destino_00486.csv
