Tipo MIME,Count,Virus_Share_Package
application/x-dosexec,35099,registro_destino_00473.csv
application/pdf,15516,registro_destino_00473.csv
text/html,6255,registro_destino_00473.csv
text/plain,4628,registro_destino_00473.csv
application/octet-stream,1889,registro_destino_00473.csv
application/zip,717,registro_destino_00473.csv
application/x-executable,634,registro_destino_00473.csv
application/java-archive,250,registro_destino_00473.csv
text/x-php,106,registro_destino_00473.csv
application/x-rar,69,registro_destino_00473.csv
text/xml,61,registro_destino_00473.csv
message/rfc822,46,registro_destino_00473.csv
application/vnd.ms-excel,39,registro_destino_00473.csv
application/encrypted,30,registro_destino_00473.csv
application/x-sharedlib,23,registro_destino_00473.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,21,registro_destino_00473.csv
text/x-script.python,17,registro_destino_00473.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,13,registro_destino_00473.csv
text/rtf,13,registro_destino_00473.csv
application/x-mach-binary,11,registro_destino_00473.csv
text/x-msdos-batch,11,registro_destino_00473.csv
application/x-pie-executable,8,registro_destino_00473.csv
application/x-msi,8,registro_destino_00473.csv
text/x-ruby,7,registro_destino_00473.csv
application/x-java-applet,6,registro_destino_00473.csv
application/json,6,registro_destino_00473.csv
text/x-shellscript,5,registro_destino_00473.csv
application/x-iso9660-image,5,registro_destino_00473.csv
application/msword,5,registro_destino_00473.csv
text/x-Algol68,5,registro_destino_00473.csv
application/x-7z-compressed,5,registro_destino_00473.csv
text/x-asm,3,registro_destino_00473.csv
audio/ogg,3,registro_destino_00473.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,3,registro_destino_00473.csv
application/vnd.ms-powerpoint,2,registro_destino_00473.csv
application/x-lzh-compressed,2,registro_destino_00473.csv
application/gzip,2,registro_destino_00473.csv
text/x-c++,2,registro_destino_00473.csv
application/CDFV2,1,registro_destino_00473.csv
audio/x-wav,1,registro_destino_00473.csv
application/x-bytecode.python,1,registro_destino_00473.csv
application/x-pnf,1,registro_destino_00473.csv
application/x-object,1,registro_destino_00473.csv
application/zlib,1,registro_destino_00473.csv
application/x-setupscript,1,registro_destino_00473.csv
application/x-shockwave-flash,1,registro_destino_00473.csv
image/svg+xml,1,registro_destino_00473.csv
text/x-perl,1,registro_destino_00473.csv
application/vnd.ms-cab-compressed,1,registro_destino_00473.csv
