MIME_type,Count,Virus_Share_Package
application/vnd.microsoft.portable-executable,38540,Untreated_logs/registro_destino_00470.csv
application/pdf,10036,Untreated_logs/registro_destino_00470.csv
text/html,9290,Untreated_logs/registro_destino_00470.csv
application/javascript,4341,Untreated_logs/registro_destino_00470.csv
application/octet-stream,797,Untreated_logs/registro_destino_00470.csv
application/vnd.android.package-archive,655,Untreated_logs/registro_destino_00470.csv
text/plain,608,Untreated_logs/registro_destino_00470.csv
application/x-ms-shortcut,360,Untreated_logs/registro_destino_00470.csv
application/x-executable,234,Untreated_logs/registro_destino_00470.csv
application/java-archive,170,Untreated_logs/registro_destino_00470.csv
application/zip,130,Untreated_logs/registro_destino_00470.csv
text/xml,87,Untreated_logs/registro_destino_00470.csv
application/x-rar,53,Untreated_logs/registro_destino_00470.csv
message/rfc822,51,Untreated_logs/registro_destino_00470.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,31,Untreated_logs/registro_destino_00470.csv
text/x-php,24,Untreated_logs/registro_destino_00470.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,20,Untreated_logs/registro_destino_00470.csv
application/vnd.ms-excel,19,Untreated_logs/registro_destino_00470.csv
application/x-sharedlib,12,Untreated_logs/registro_destino_00470.csv
application/x-mach-binary,9,Untreated_logs/registro_destino_00470.csv
text/x-ruby,9,Untreated_logs/registro_destino_00470.csv
text/x-shellscript,8,Untreated_logs/registro_destino_00470.csv
text/x-msdos-batch,8,Untreated_logs/registro_destino_00470.csv
application/x-java-applet,8,Untreated_logs/registro_destino_00470.csv
text/x-script.python,7,Untreated_logs/registro_destino_00470.csv
application/x-pie-executable,6,Untreated_logs/registro_destino_00470.csv
application/x-7z-compressed,4,Untreated_logs/registro_destino_00470.csv
text/x-c,2,Untreated_logs/registro_destino_00470.csv
application/x-adobe-aco,2,Untreated_logs/registro_destino_00470.csv
application/x-msi,2,Untreated_logs/registro_destino_00470.csv
font/sfnt,1,Untreated_logs/registro_destino_00470.csv
application/x-wine-extension-ini,1,Untreated_logs/registro_destino_00470.csv
text/x-asm,1,Untreated_logs/registro_destino_00470.csv
image/vnd.dwg,1,Untreated_logs/registro_destino_00470.csv
application/x-dosdriver,1,Untreated_logs/registro_destino_00470.csv
application/msword,1,Untreated_logs/registro_destino_00470.csv
application/x-xz,1,Untreated_logs/registro_destino_00470.csv
audio/ogg,1,Untreated_logs/registro_destino_00470.csv
application/json,1,Untreated_logs/registro_destino_00470.csv
application/x-ace-compressed,1,Untreated_logs/registro_destino_00470.csv
application/gzip,1,Untreated_logs/registro_destino_00470.csv
application/x-bzip2,1,Untreated_logs/registro_destino_00470.csv
text/rtf,1,Untreated_logs/registro_destino_00470.csv
