Tipo MIME,Count,Virus_Share_Package
application/pdf,38963,registro_destino_00484.csv
application/x-dosexec,17887,registro_destino_00484.csv
text/html,4928,registro_destino_00484.csv
text/plain,1713,registro_destino_00484.csv
application/octet-stream,667,registro_destino_00484.csv
application/zip,642,registro_destino_00484.csv
application/java-archive,232,registro_destino_00484.csv
application/x-executable,209,registro_destino_00484.csv
application/x-rar,48,registro_destino_00484.csv
text/x-php,42,registro_destino_00484.csv
message/rfc822,37,registro_destino_00484.csv
text/xml,25,registro_destino_00484.csv
text/x-script.python,23,registro_destino_00484.csv
application/vnd.ms-excel,20,registro_destino_00484.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,16,registro_destino_00484.csv
text/x-ruby,13,registro_destino_00484.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,12,registro_destino_00484.csv
application/x-mach-binary,9,registro_destino_00484.csv
application/json,7,registro_destino_00484.csv
application/x-pie-executable,6,registro_destino_00484.csv
text/x-msdos-batch,6,registro_destino_00484.csv
text/x-shellscript,5,registro_destino_00484.csv
text/rtf,4,registro_destino_00484.csv
text/x-c,3,registro_destino_00484.csv
application/x-java-applet,3,registro_destino_00484.csv
application/x-7z-compressed,3,registro_destino_00484.csv
application/x-setupscript,2,registro_destino_00484.csv
application/x-sharedlib,2,registro_destino_00484.csv
application/gzip,2,registro_destino_00484.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,2,registro_destino_00484.csv
application/x-msi,1,registro_destino_00484.csv
image/x-tga,1,registro_destino_00484.csv
text/x-asm,1,registro_destino_00484.csv
application/x-shockwave-flash,1,registro_destino_00484.csv
audio/ogg,1,registro_destino_00484.csv
