MIME_type,Count,Virus_Share_Package
application/pdf,23666,registro_destino_00477.csv
text/html,21941,registro_destino_00477.csv
application/x-dosexec,16001,registro_destino_00477.csv
text/plain,1624,registro_destino_00477.csv
application/octet-stream,1050,registro_destino_00477.csv
application/zip,490,registro_destino_00477.csv
application/x-executable,181,registro_destino_00477.csv
text/xml,159,registro_destino_00477.csv
application/java-archive,150,registro_destino_00477.csv
application/x-rar,63,registro_destino_00477.csv
application/x-java-applet,29,registro_destino_00477.csv
application/vnd.ms-excel,29,registro_destino_00477.csv
text/x-php,29,registro_destino_00477.csv
message/rfc822,19,registro_destino_00477.csv
text/x-shellscript,11,registro_destino_00477.csv
application/encrypted,9,registro_destino_00477.csv
text/x-c++,8,registro_destino_00477.csv
text/x-ruby,6,registro_destino_00477.csv
application/x-mach-binary,6,registro_destino_00477.csv
text/x-msdos-batch,6,registro_destino_00477.csv
application/x-msi,6,registro_destino_00477.csv
application/json,5,registro_destino_00477.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,5,registro_destino_00477.csv
text/x-script.python,5,registro_destino_00477.csv
text/rtf,5,registro_destino_00477.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,4,registro_destino_00477.csv
application/x-wine-extension-ini,3,registro_destino_00477.csv
application/msword,3,registro_destino_00477.csv
application/zlib,3,registro_destino_00477.csv
text/x-c,3,registro_destino_00477.csv
application/x-sharedlib,3,registro_destino_00477.csv
application/x-iso9660-image,2,registro_destino_00477.csv
application/x-7z-compressed,2,registro_destino_00477.csv
application/vnd.ms-cab-compressed,1,registro_destino_00477.csv
text/x-asm,1,registro_destino_00477.csv
application/x-xz,1,registro_destino_00477.csv
image/webp,1,registro_destino_00477.csv
application/vnd.ms-powerpoint,1,registro_destino_00477.csv
application/x-shockwave-flash,1,registro_destino_00477.csv
text/x-perl,1,registro_destino_00477.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,1,registro_destino_00477.csv
application/gzip,1,registro_destino_00477.csv
application/x-ms-wim,1,registro_destino_00477.csv
