Tipo MIME,Count,Virus_Share_Package
application/pdf,32597,registro_destino_00482.csv
application/x-dosexec,24837,registro_destino_00482.csv
text/html,2860,registro_destino_00482.csv
text/plain,2630,registro_destino_00482.csv
application/octet-stream,887,registro_destino_00482.csv
application/zip,736,registro_destino_00482.csv
application/x-executable,259,registro_destino_00482.csv
application/java-archive,237,registro_destino_00482.csv
application/x-java-applet,75,registro_destino_00482.csv
application/gzip,56,registro_destino_00482.csv
message/rfc822,53,registro_destino_00482.csv
application/x-rar,51,registro_destino_00482.csv
application/vnd.ms-excel,39,registro_destino_00482.csv
text/xml,31,registro_destino_00482.csv
text/x-php,19,registro_destino_00482.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,19,registro_destino_00482.csv
text/x-ruby,17,registro_destino_00482.csv
application/CDFV2,16,registro_destino_00482.csv
text/x-shellscript,15,registro_destino_00482.csv
text/x-script.python,13,registro_destino_00482.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,11,registro_destino_00482.csv
application/x-msi,9,registro_destino_00482.csv
text/rtf,8,registro_destino_00482.csv
application/x-sharedlib,8,registro_destino_00482.csv
text/x-c++,6,registro_destino_00482.csv
text/x-c,6,registro_destino_00482.csv
application/x-mach-binary,5,registro_destino_00482.csv
application/msword,5,registro_destino_00482.csv
application/encrypted,4,registro_destino_00482.csv
application/x-setupscript,4,registro_destino_00482.csv
application/x-iso9660-image,3,registro_destino_00482.csv
text/x-msdos-batch,3,registro_destino_00482.csv
application/x-pie-executable,3,registro_destino_00482.csv
application/x-7z-compressed,2,registro_destino_00482.csv
image/svg+xml,2,registro_destino_00482.csv
application/vnd.ms-powerpoint,2,registro_destino_00482.csv
application/x-shockwave-flash,1,registro_destino_00482.csv
image/gif,1,registro_destino_00482.csv
image/png,1,registro_destino_00482.csv
application/x-coff,1,registro_destino_00482.csv
audio/mpeg,1,registro_destino_00482.csv
text/x-perl,1,registro_destino_00482.csv
application/x-xz,1,registro_destino_00482.csv
application/x-xar,1,registro_destino_00482.csv
