MIME_type,Count,Virus_Share_Package
application/x-dosexec,29937,registro_destino_00483.csv
application/pdf,25593,registro_destino_00483.csv
text/plain,3898,registro_destino_00483.csv
text/html,3354,registro_destino_00483.csv
application/octet-stream,1116,registro_destino_00483.csv
application/zip,802,registro_destino_00483.csv
application/java-archive,222,registro_destino_00483.csv
application/x-executable,158,registro_destino_00483.csv
application/x-rar,62,registro_destino_00483.csv
message/rfc822,48,registro_destino_00483.csv
text/xml,43,registro_destino_00483.csv
application/x-java-applet,42,registro_destino_00483.csv
text/x-php,37,registro_destino_00483.csv
application/vnd.ms-excel,36,registro_destino_00483.csv
application/x-pie-executable,30,registro_destino_00483.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,21,registro_destino_00483.csv
text/x-ruby,20,registro_destino_00483.csv
text/x-script.python,19,registro_destino_00483.csv
text/x-shellscript,13,registro_destino_00483.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,11,registro_destino_00483.csv
application/x-sharedlib,11,registro_destino_00483.csv
application/x-mach-binary,9,registro_destino_00483.csv
application/gzip,8,registro_destino_00483.csv
text/x-c,6,registro_destino_00483.csv
text/x-msdos-batch,4,registro_destino_00483.csv
text/rtf,4,registro_destino_00483.csv
text/x-asm,4,registro_destino_00483.csv
application/x-setupscript,4,registro_destino_00483.csv
application/x-7z-compressed,2,registro_destino_00483.csv
text/x-c++,2,registro_destino_00483.csv
application/encrypted,2,registro_destino_00483.csv
application/msword,2,registro_destino_00483.csv
text/x-perl,2,registro_destino_00483.csv
text/x-Algol68,2,registro_destino_00483.csv
audio/ogg,1,registro_destino_00483.csv
application/json,1,registro_destino_00483.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,1,registro_destino_00483.csv
image/png,1,registro_destino_00483.csv
application/x-ms-compress-szdd,1,registro_destino_00483.csv
application/x-xar,1,registro_destino_00483.csv
x-epoc/x-sisx-app,1,registro_destino_00483.csv
application/x-wine-extension-ini,1,registro_destino_00483.csv
application/zlib,1,registro_destino_00483.csv
application/x-chrome-extension,1,registro_destino_00483.csv
