Tipo MIME,Count,Virus_Share_Package
application/pdf,36646,registro_destino_00481.csv
application/x-dosexec,22127,registro_destino_00481.csv
text/html,2576,registro_destino_00481.csv
text/plain,1681,registro_destino_00481.csv
application/octet-stream,949,registro_destino_00481.csv
application/zip,660,registro_destino_00481.csv
application/x-executable,249,registro_destino_00481.csv
application/java-archive,196,registro_destino_00481.csv
application/x-rar,62,registro_destino_00481.csv
application/encrypted,55,registro_destino_00481.csv
application/vnd.ms-excel,41,registro_destino_00481.csv
message/rfc822,41,registro_destino_00481.csv
text/x-php,31,registro_destino_00481.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,28,registro_destino_00481.csv
application/x-msi,26,registro_destino_00481.csv
text/xml,21,registro_destino_00481.csv
text/rtf,20,registro_destino_00481.csv
application/msword,19,registro_destino_00481.csv
text/x-ruby,15,registro_destino_00481.csv
application/x-iso9660-image,15,registro_destino_00481.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,11,registro_destino_00481.csv
text/x-script.python,10,registro_destino_00481.csv
application/gzip,10,registro_destino_00481.csv
text/x-shellscript,7,registro_destino_00481.csv
application/x-7z-compressed,7,registro_destino_00481.csv
application/x-sharedlib,7,registro_destino_00481.csv
text/x-msdos-batch,3,registro_destino_00481.csv
application/x-mach-binary,3,registro_destino_00481.csv
application/x-setupscript,2,registro_destino_00481.csv
application/x-java-applet,2,registro_destino_00481.csv
application/x-xz,2,registro_destino_00481.csv
application/x-tar,1,registro_destino_00481.csv
application/zlib,1,registro_destino_00481.csv
application/json,1,registro_destino_00481.csv
text/x-asm,1,registro_destino_00481.csv
image/gif,1,registro_destino_00481.csv
application/x-bytecode.python,1,registro_destino_00481.csv
text/x-objective-c,1,registro_destino_00481.csv
text/x-perl,1,registro_destino_00481.csv
application/x-pie-executable,1,registro_destino_00481.csv
application/vnd.ms-cab-compressed,1,registro_destino_00481.csv
application/x-wine-extension-ini,1,registro_destino_00481.csv
text/x-c++,1,registro_destino_00481.csv
application/vnd.debian.binary-package,1,registro_destino_00481.csv
application/x-chrome-extension,1,registro_destino_00481.csv
