Tipo MIME,Count,Virus_Share_Package
application/pdf,26900,registro_destino_00485.csv
application/vnd.microsoft.portable-executable,22603,registro_destino_00485.csv
text/html,5833,registro_destino_00485.csv
application/octet-stream,1680,registro_destino_00485.csv
application/javascript,1497,registro_destino_00485.csv
text/x-msdos-batch,1484,registro_destino_00485.csv
application/vnd.android.package-archive,1477,registro_destino_00485.csv
application/x-executable,1428,registro_destino_00485.csv
text/plain,695,registro_destino_00485.csv
application/zip,386,registro_destino_00485.csv
application/java-archive,333,registro_destino_00485.csv
application/x-rar,158,registro_destino_00485.csv
application/vnd.ms-excel,149,registro_destino_00485.csv
application/encrypted,128,registro_destino_00485.csv
application/x-pie-executable,83,registro_destino_00485.csv
text/x-php,74,registro_destino_00485.csv
application/x-ms-shortcut,61,registro_destino_00485.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,54,registro_destino_00485.csv
message/rfc822,52,registro_destino_00485.csv
text/xml,49,registro_destino_00485.csv
text/rtf,48,registro_destino_00485.csv
application/x-iso9660-image,38,registro_destino_00485.csv
application/x-sharedlib,32,registro_destino_00485.csv
application/msword,27,registro_destino_00485.csv
application/x-msi,27,registro_destino_00485.csv
text/x-ruby,24,registro_destino_00485.csv
text/x-shellscript,23,registro_destino_00485.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,22,registro_destino_00485.csv
application/x-java-applet,19,registro_destino_00485.csv
application/gzip,17,registro_destino_00485.csv
application/x-7z-compressed,16,registro_destino_00485.csv
application/vnd.openxmlformats-officedocument.presentationml.presentation,16,registro_destino_00485.csv
application/x-ace-compressed,13,registro_destino_00485.csv
text/x-c,11,registro_destino_00485.csv
application/x-ole-storage,10,registro_destino_00485.csv
application/x-mach-binary,8,registro_destino_00485.csv
text/x-script.python,8,registro_destino_00485.csv
application/x-adobe-aco,7,registro_destino_00485.csv
application/vnd.ms-powerpoint,5,registro_destino_00485.csv
application/x-lzh-compressed,5,registro_destino_00485.csv
text/x-perl,4,registro_destino_00485.csv
application/x-shockwave-flash,4,registro_destino_00485.csv
application/x-dosexec,3,registro_destino_00485.csv
application/x-object,3,registro_destino_00485.csv
application/x-setupscript,3,registro_destino_00485.csv
application/json,3,registro_destino_00485.csv
image/png,2,registro_destino_00485.csv
application/x-tar,2,registro_destino_00485.csv
application/x-ms-wim,2,registro_destino_00485.csv
application/x-xz,1,registro_destino_00485.csv
application/x-mswinurl,1,registro_destino_00485.csv
text/x-java,1,registro_destino_00485.csv
application/x-xar,1,registro_destino_00485.csv
application/zlib,1,registro_destino_00485.csv
audio/mpeg,1,registro_destino_00485.csv
audio/ogg,1,registro_destino_00485.csv
application/x-bytecode.python,1,registro_destino_00485.csv
font/sfnt,1,registro_destino_00485.csv
audio/x-wav,1,registro_destino_00485.csv
